c_01	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14	n_15	n_16	n_17	n_18	n_19	n_20	n_21	n_22	c_7	n_23	n_24	n_25	n_26	n_27
8180986494074181897	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10969795746934575922	14771401151246747869	3875281194045982152	156.948	47.0207	13301720600350218719	12475520281949963058	5656685945142785391	38.5	6843963171864976598	1477913653416	1	1	29.5	23.5	16	9146.5	2.5	2.5	64	1	1	16000	5077	12184	14531.5	47789.5	673	1	1	6843963171864976598	1	1	1	1	2.5
3229917386798808746	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11932655749535390667	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8304824953509023977	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3938191222459369986	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
2470254365366851779	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4790602990432716152	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4644313349697292558	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9887661159940175201	34453685010072459	3659863142344469883	-113.481	61.0745	4380051290083350494	NaN	5656685945142785391	32.5	34453685010072459	1451446172190	1	49	730	70	92.5	664	28	1028.5	97	1	1	3011.5	6926.5	5663.5	2180.5	17779	542.5	1	1	6843963171864976598	1	1	1	14.5	31
1778916887575710655	34453685010072459	3659863142344469883	181.616	55.2189	17465306663676244936	NaN	5656685945142785391	1	14771401151246747869	1437212981128	1	208	416.5	52	31	1189	46	6121	167.5	1	1	22144	1031.5	5351.5	76207	104731	3790	1	1	6843963171864976598	1	1	1	112	10
2078034422813897433	14771401151246747869	11062887832843833345	182.053	46.6203	1499740313067042920	9853025728200234996	9203211364990347262	44.5	34453685010072459	1469079565302	1	1	398.5	119.5	86.5	17786.5	1	1	7	1	1	4192	194.5	1828	7573	13784.5	779.5	1	1	6843963171864976598	1	1	1	41.5	5.5
16790855612712922796	14771401151246747869	4327320840796792320	178.155	37.7045	17188042325796387627	1425785792086908202	5656685945142785391	34	14771401151246747869	1458111402371	1	23.5	101.5	53.5	100	1625.5	1	1	1	1	1	1990	1	155.5	16	2159.5	308.5	1	1	6843963171864976598	1	1	1	1	13
16803110651234682988	14771401151246747869	3659863142344469883	175.181	37.4718	1515814145325380953	NaN	17976383577365148815	1	6843963171864976598	1486113980106	1	1	2.5	2.5	1	1	1	1	58	1	1	1	4733.5	1	1	4733.5	28	1	1	6843963171864976598	1	1	1	1	1
5141669419449485778	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
18437554298409197418	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5204158738315838739	14771401151246747869	11740872891748772811	173.947	59.3075	6828291961868330005	NaN	16574518080761652174	1	14771401151246747869	1461587373354	1	89.5	26.5	74.5	1	1354	1	1	4	1	1	21874	394	215.5	3352	25832.5	511	1	1	6843963171864976598	1	1	1	1	1
4189355001292737101	34453685010072459	4649142819871313777	164.719	45.5115	16096423384998067789	NaN	8146055994240252581	1	6843963171864976598	1489936016300	1	1	2.5	1	1	1	8.5	107.5	1	1	1	1	1	1	1	1	2.5	1	1	6843963171864976598	1	1	1	1	1
1939510032509051695	14771401151246747869	1702696310057207949	164.109	28.8601	6361187210908506639	NaN	16244310678531341320	1	6843963171864976598	1462633358263	1	641.5	41.5	188.5	1	4052.5	1	2.5	53.5	1	1	22193.5	5971	4114	7532.5	39808	751	1	1	6843963171864976598	1	1	1	7	2.5
15102220480784230854	14771401151246747869	6696413604108599824	172.402	55.706	10199864769168044432	NaN	8146055994240252581	1	6843963171864976598	1484161606390	1	10	2.5	7	1	1	1	1	4	1	1	404.5	1924	28	1031.5	3385	239.5	1	1	6843963171864976598	1	1	1	1	1
10976740740904050615	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
15415545851864442361	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14898950673042599587	34453685010072459	3659863142344469883	181.305	46.4393	7821691606952319426	NaN	5656685945142785391	41.5	34453685010072459	1423758291186	1	28	190	64	149.5	698.5	5.5	62.5	1	1	1	1	1	3985	1	3985	32.5	1	1	6843963171864976598	1	1	1	1	19
1339517549190908008	34453685010072459	7638001807695707609	178.075	37.5469	10855837846870210727	2553846166234290786	5656685945142785391	34	6843963171864976598	1466157042267	1	149.5	20803	302.5	180115	870648	2.5	503.5	2651.5	1	1	208495	137068	401220	133518	880297	3416.5	1	1	6843963171864976598	1	1	47.5	81830.5	151
9002725783186621460	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
112732059386798084	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
6706821187787590123	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10488291811051745142	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14039674163326058378	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
17566857000626816384	14771401151246747869	3659863142344469883	1	1	16870020786991271308	4147176458338310417	954107596829898617	40	14771401151246747869	1487731248485	1	1	50.5	28	1	343234	2.5	389.5	4252	1	1	95012.5	197742	246016	303487	842254	2374	1	1	6843963171864976598	1	1	59.5	48746.5	1
5371124066159755518	14771401151246747869	5228007527063844925	181.905	46.8476	1499740313067042920	2037390466755551494	3027499780234405913	32.5	6843963171864976598	1459640308402	1	1	43	32.5	4	406	4	299.5	19	1	1	118	665.5	808	6595	8183.5	830.5	1	1	6843963171864976598	1	1	1	1	2.5
4463052060467265675	34453685010072459	7265916326799606203	183.165	47.814	7728751497385427149	6486231215547827399	5656685945142785391	31	15744588034618892817	1466944793330	1	1246	1123	698.5	1	47072.5	14.5	62.5	905.5	1	1	39464.5	17380	39436	247854	344131	772	1	1	6843963171864976598	1	1	1	1265.5	1
1273463064832505675	34453685010072459	7638001807695707609	1	1	6220772307398391706	13871198517152104089	5656685945142785391	35.5	6843963171864976598	1486825794185	1	1	1	5.5	1	32.5	1	1	1	1	1	1	1897	272.5	5227	7394.5	296.5	1	1	6843963171864976598	1	1	1	1	1
108758724903208635	14771401151246747869	18338085398158244201	165.815	47.6133	9635603008648383983	NaN	9203211364990347262	1	9712055990861830264	1460739948426	1	100	133	92.5	425.5	24973	1	5.5	461.5	1	1	8264.5	97	953.5	75068.5	84380.5	1232.5	1	1	6843963171864976598	1	1	1	4	32.5
5593540093683965373	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8832988792841156698	14771401151246747869	11062887832843833345	175.983	60.89	6220772307398391706	NaN	8146055994240252581	1	6843963171864976598	1488811796217	1	1	7	1	5.5	8.5	1	1	1	1	1	1	1	1	26.5	26.5	2.5	1	1	6843963171864976598	1	1	1	1	2.5
14600014019883942808	14771401151246747869	8286680241381910257	181.948	47.9782	12855404259964902474	18251273382617590893	5656685945142785391	40	14771401151246747869	1439032624295	1	1	46	17.5	1	23864.5	4	38.5	589	1	1	24871	3773.5	10447	42982	82070.5	620.5	1	1	6843963171864976598	1	1	7	3050.5	1
1168478680289752969	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11349129154953124142	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5408558191137758023	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5793678535454425975	14771401151246747869	2066315660299746190	182.325	49.0938	18229522800004884422	7779226729240868338	18022319006673063076	28	6843963171864976598	1457170115482	1	170.5	337	14.5	82	12581.5	1	289	293.5	1	1	14906.5	92395	93307	99128.5	299734	11569	1	1	6843963171864976598	1	1	1	176.5	1
4295057258341250011	14771401151246747869	15581449471719456830	169.304	49.0085	10328885138061990590	8988842567167725562	5656685945142785391	41.5	6843963171864976598	1485933002402	1	118	13	65.5	34	217	1	2.5	8.5	1	1	1	1	2438.5	15932.5	18370	187	1	1	6843963171864976598	1	1	1	1	2.5
9611415089463055219	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
5328722083514840724	14771401151246747869	7847479332555850611	155.39	41.3693	2077672961909568615	14680514048842577659	9508986070882694562	173.5	34453685010072459	1459741446126	1	1	194.5	2.5	65.5	283580	1	5.5	440.5	1	1	12430	7520.5	15332.5	5777.5	41057.5	521.5	1	1	6843963171864976598	1	1	1	91	20.5
7881043247982225709	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4210107276579058546	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8317387422963756870	14771401151246747869	15694656548661744051	175.476	61.0594	6220772307398391706	NaN	5656685945142785391	1	6843963171864976598	1488821965365	1	1	1	1	1	8.5	1	1	1	1	1	275.5	1	1	1	275.5	22	1	1	6843963171864976598	1	1	1	1	1
6533268715651815541	14771401151246747869	13235116171651112231	170.723	36.0455	16870020786991271308	9805379075566995561	3072633802421236748	38.5	6843963171864976598	1468781151114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	82	1	1	6843963171864976598	1	1	1	1	1
16984375429524697113	14771401151246747869	7265916326799606203	181.253	76.3679	11715886343672910396	35449646366330138	5656685945142785391	38.5	6843963171864976598	1486237022477	1	1	29.5	53.5	1	1	1	514	1	1	1	32.5	1	28	82	140.5	11.5	1	1	6843963171864976598	1	1	1	1	1
5024650439279459666	14771401151246747869	11101287519812860991	175.227	36.135	5810170163192060640	8140844128670514512	14754875642950410490	37	6843963171864976598	1467356505432	1	1	58	295	7	635.5	1	1	53.5	1	1	15677.5	26090.5	16697.5	46460.5	104923	2218	1	1	6843963171864976598	1	1	1	514	2.5
11505655434279389337	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16261338804589204104	14771401151246747869	7265916326799606203	178.409	38.5183	4648992534133883233	NaN	17976383577365148815	29.5	6843963171864976598	1485836606112	1	1	5.5	86.5	1	2321.5	1	1	5.5	1	1	2236	22	404.5	10337.5	12997	310	1	1	6843963171864976598	1	1	1	8.5	1
14113586640310426925	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
58490305834118409	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
13585268103341266226	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10264184419532688977	34453685010072459	11688242896569479644	170.043	57.3846	9920463501093110877	13871198517152104089	7941305549320701127	41.5	9712055990861830264	1465774423138	1	1	401.5	124	136	26944	1	5.5	1760.5	1	1	17728	188032	257804	257928	721489	6151	1	1	6843963171864976598	1	1	1	275.5	16
16898268123118843162	34453685010072459	12526130277778747046	160.116	45.7958	9635603008648383983	14805553423432444691	7941305549320701127	1	6843963171864976598	1463836074281	1	1	461.5	26.5	2216.5	9599.5	11.5	490	23.5	1	1	9727	1378	5710	16585	33397	808	1	1	6843963171864976598	1	1	1	38.5	89.5
694775479348671696	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16406272998750702735	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7873484072951382110	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
6551138253013862177	14771401151246747869	5510092180767269547	178.726	38.3885	4648992534133883233	345555973046907024	8563924356941094857	1	34453685010072459	1465906417172	1	5.5	56.5	1025.5	1	4516	2.5	58	2596	1	1	9416.5	196876	233528	139582	579400	4193.5	1	1	6843963171864976598	1	1	1	1726	1
7043079257991461061	14771401151246747869	7265916326799606203	210.298	54.1254	12714613071807211471	18251273382617590893	5656685945142785391	34	14771401151246747869	1483076866460	1	23.5	406	16	16	19484.5	1	2.5	1	1	1	556	101.5	452.5	28	1135	58	1	1	6843963171864976598	1	1	1	1	109
10788589887337406591	14771401151246747869	10467070217667796302	175.976	36.1621	16173491599923271556	5934422841821369788	17205422938347258315	44.5	14771401151246747869	1479010375386	1	241	52	32.5	775	5435.5	1	10	502	1	1	54923.5	2069.5	27137.5	146650	230778	2476	1	1	6843963171864976598	1	1	1	616	7
13002473667538405452	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
6614831622667594396	14771401151246747869	15676796881070730398	178.047	37.719	17188042325796387627	NaN	9203211364990347262	1	34453685010072459	1466327771441	1	925	40	17.5	1	2473	1	1	1	1	1	1	59.5	464.5	679	1201	178	1	1	6843963171864976598	1	1	1	1	11.5
8075787787915899013	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3777958044008781759	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10335966984030773675	14771401151246747869	7387086092818984185	160.14	47.188	7430455085820939695	NaN	5656685945142785391	1	6843963171864976598	1486365431489	1	1	10	94	1	1	1	1	17.5	1	1	6569.5	415	17299	5453.5	29734	568	1	1	6843963171864976598	1	1	1	1	1
12184128016641006520	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10696838831330037542	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4576602562104050156	34453685010072459	10042331214081538537	182.043	56.7822	12093290839936971212	2879422768105591548	9203211364990347262	25	14771401151246747869	1457836044198	1	7	245.5	50.5	35.5	85	1	1	1	1	1	1	1	1	326.5	326.5	17.5	1	1	6843963171864976598	1	1	1	1	32.5
12729082718584908586	14771401151246747869	3659863142344469883	180.367	60.9246	8246800423513151869	NaN	5656685945142785391	1	34453685010072459	1471184761322	1	187	8.5	392.5	1	8.5	1	1	1	1	1	302.5	2564.5	161.5	860.5	3886	371.5	1	1	6843963171864976598	1	1	1	1	1
2928843403828605474	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14174467573265121070	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3070406681156363865	14771401151246747869	7265916326799606203	122.931	66.8948	1480553952887936177	NaN	5656685945142785391	1	14771401151246747869	1460043950283	1	1	28	238	1	10276	1	1	1	1	1	3253	472	1	2590	6313	262	1	1	6843963171864976598	1	1	1	1	1
921131322658890324	14771401151246747869	13052183550112605847	176.118	39.6875	9493634768612326716	14805553423432444691	7941305549320701127	1	14771401151246747869	1474869034454	1	14.5	46	28	8.5	983.5	1	11.5	67	1	1	2440	371.5	1778.5	12403	16990	158.5	1	1	6843963171864976598	1	1	1	2.5	2.5
9256230242702724949	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
4910997971295812615	34453685010072459	15711729024472997155	176.44	43.3646	16300864220208099712	NaN	5083169309446148209	1	6843963171864976598	1486636950310	1	1	70	217	16	652	41.5	1	220	1	1	2611	22931.5	54575.5	79679.5	159794	3271	1	1	6843963171864976598	1	1	1	250	5.5
10611829575058913707	14771401151246747869	16871506364980014497	176.694	59.5728	17206023593600067121	11058795760867858417	16244310678531341320	56.5	34453685010072459	1479522601447	1	1177	25	302.5	1	310	1	13	784	1	1	3677.5	41488	66982	38753.5	150898	1681	1	1	6843963171864976598	1	1	1	44.5	1
1288093255360967357	14771401151246747869	9582961228192262893	175.53	60.8856	6220772307398391706	13871198517152104089	16244310678531341320	175	6843963171864976598	1466060446354	1	1	59.5	47.5	1	11.5	8.5	53.5	25	1	1	1	1456	3281.5	15998.5	20734	2660.5	1	1	6843963171864976598	1	1	1	1	1
18189123866447832438	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
16727763937034297633	14771401151246747869	7407684843732645521	171.74	35.2038	7555030694101606672	NaN	5656685945142785391	1	6843963171864976598	1488927902185	1	1	5.5	5.5	1	5584	1	1	463	1	1	44932	18935.5	51296.5	18644.5	133806	740.5	1	1	6843963171864976598	1	1	1	202	1
9321201660541121277	34453685010072459	17089004857331286805	181.291	46.3698	7821691606952319426	NaN	9203211364990347262	25	6843963171864976598	1462530663402	1	1	698.5	2.5	211	58820.5	1	1	1	1	1	7	82	1	19	106	23.5	1	1	6843963171864976598	1	1	1	1	151
8715176253624454871	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
6521695578196401414	14771401151246747869	10211136965740185639	1	1	14021228079386584754	NaN	5656685945142785391	1	6843963171864976598	1430445673136	1	61	1396	115	281.5	721088	1	4	1	1	1	2123.5	40	1	377.5	2539	106	1	1	6843963171864976598	1	1	1	1	151
11890736153467743622	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
8367115717572223951	14771401151246747869	3731148849493463532	156.388	55.2919	16119886518435264805	NaN	5656685945142785391	1	14771401151246747869	1465020364488	1	1	37	4	1	1607.5	1	1	1	1	1	1	1	1	1	1	10	1	1	6843963171864976598	1	1	1	1	1
3088609104493105059	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7263928953397000431	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11368270560550814220	14771401151246747869	12809804041656136606	182.323	46.8028	1499740313067042920	4419326220132520574	8080533469335952745	1	6843963171864976598	1472561609243	1	1	76	664	1	10	10	296.5	10	1	1	1	3001	877	2516.5	6392.5	152.5	1	1	6843963171864976598	1	1	1	1	1
5929965552294273764	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10261668306108428683	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
9251411660968973935	14771401151246747869	8286680241381910257	163.052	35.8796	10907634606554490072	NaN	8494060603423735195	1	6843963171864976598	1489495662401	1	1	4	17.5	1	227.5	1	4	524.5	1	1	13006	64	103	33481	46651	490	1	1	6843963171864976598	1	1	1	127	1
15213032612882855968	34453685010072459	10467070217667796302	175.419	60.7544	6220772307398391706	13871198517152104089	3027499780234405913	26.5	6843963171864976598	1463127857211	1	1	166	206.5	32.5	178	4	127	1	1	1	1	274	38.5	44.5	355	40	1	1	6843963171864976598	1	1	1	1	13
4965067547470957875	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
12507973810684160121	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
7166155870524644058	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
13036826724632634405	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
10323685754356465240	34453685010072459	10211136965740185639	183.564	59.6313	567940193888357937	4947549168970771844	5656685945142785391	35.5	34453685010072459	1462446218148	1	76	7139.5	101.5	47135.5	187021	2.5	32.5	241	1	1	22306	6848.5	22246	62822.5	114220	505	1	1	6843963171864976598	1	1	7	1609	151
6938858593140872311	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
6668835798043557277	14771401151246747869	372013018911499218	175.782	60.7345	6220772307398391706	15547720619566231198	5656685945142785391	44.5	15026583530804077823	1459010228206	1	544	37	185.5	1	1072	1	4	10	1	1	1	1	1	1	1	767.5	1	1	6843963171864976598	1	1	1	5.5	1
13399689482033625104	14771401151246747869	15694656548661744051	183.198	47.8258	7728751497385427149	15327311328677242761	16244310678531341320	47.5	14771401151246747869	1465518071381	1	181	247	358	23.5	9289	1	220	19	1	1	1	10	1321	5606.5	6935.5	140.5	1	1	6843963171864976598	1	1	1	68.5	10
1647645057355870478	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11909562080060780558	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
11975136665211413403	14771401151246747869	15918897007850920178	172.24	34.9769	15327303923343906653	1746164263205610366	5656685945142785391	40	6843963171864976598	1449161781452	1	67	53.5	1	1	19348	1	1	1	1	1	1	1	1	8.5	8.5	5.5	1	1	6843963171864976598	1	1	1	1	2.5
4497206874405797581	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3384902117980170224	14771401151246747869	4619779255378358970	182.936	47.5613	7728751497385427149	13729019160833363761	16244310678531341320	163	15026583530804077823	1452906890411	1	649	727	160	212.5	35360.5	1	148	1856.5	1	1	36446.5	29452	55217.5	61549	182662	1928.5	1	1	6843963171864976598	1	1	1	179.5	127
11384865171545499215	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
3327496564278801704	34453685010072459	6084453210604472226	160.859	45.3412	9635603008648383983	14805553423432444691	16256945696872958129	32.5	34453685010072459	1469445531256	1	4	1022.5	4	121	150348	23.5	395.5	1852	1	1	83129.5	23941	71615.5	160369	339052	3715	1	1	6843963171864976598	1	1	1	1418.5	121
3005124384124171424	14771401151246747869	16429264127763712662	175.098	61.2593	6220772307398391706	7860320755551139794	3027499780234405913	37	6843963171864976598	1488105444254	1	1	5.5	10	1	136	1	7	1	1	1	1	202	2003.5	15254.5	17458	233.5	1	1	6843963171864976598	1	1	1	1	1
16525497489702006875	14771401151246747869	7265916326799606203	171.63	35.5865	7555030694101606672	NaN	3027499780234405913	1	14771401151246747869	1450165806186	1	1	170.5	61	227.5	85	11.5	415	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	14.5
