c_02	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14
4008493734616953929	34453685010072459	7029048134113303778	183.513	64.0175	12597368311570085481	9664914601971419472	8494060603423735195	1	6843963171864976598	1459835705454	2.5	386.5	1	52	1904.5	2.5	13	25312	110.5	1	1
12813226030572158906	14771401151246747869	10211136965740185639	165.778	31.9157	9567574830962345760	6486231215547827399	17976383577365148815	38.5	6843963171864976598	1472139811378	2.5	281.5	292	205	215376	14.5	101.5	9967	71.5	29.5	1
11719762884742296193	34453685010072459	196881150166146685	167.492	53.5304	1023208684086459107	NaN	3027499780234405913	1	6843963171864976598	1477923690363	2.5	466	44.5	1	1018	1	1	664	74.5	1	1
10231569040913817593	14771401151246747869	594216088382371529	164.101	52.5063	2671654609611462669	NaN	16244310678531341320	1	6843963171864976598	1484191683409	2.5	32.5	29.5	4	271	1	2.5	4	2.5	1	1
7169031093877117163	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3860951641779945352	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
17676285558286225192	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
2226625901291900916	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12362731545760709291	14771401151246747869	15694656548661744051	1	1	12012497998227712295	NaN	5656685945142785391	100	14771401151246747869	1434723072291	2.5	4	23.5	1	1	1	20.5	1	1	1	1
5769219162846150613	34453685010072459	3875281194045982152	175.543	61.0528	6220772307398391706	NaN	7941305549320701127	1	14771401151246747869	1468150408220	2.5	2146	101.5	14.5	10	14.5	1166.5	37000	151	4559.5	16
16959226641552462230	34453685010072459	3659863142344469883	160.357	45.9985	9635603008648383983	NaN	5656685945142785391	1	6843963171864976598	1474883191224	2.5	844	11.5	29.5	1	1	1	1501	94	1	1
703950850816740443	34453685010072459	12012904851484493847	156.969	46.8278	13301720600350218719	15023414128359463911	16256945696872958129	34	6843963171864976598	1478866758174	2.5	274	7	26.5	509.5	1	2.5	191.5	26.5	1	1
9292727591630894892	34453685010072459	15694656548661744051	180.26	54.1285	11933963788288939103	11648428182317301832	5656685945142785391	28	14771401151246747869	1480343478185	2.5	12745	10	8.5	10000	1	350.5	35800	151	9146.5	7
3959461832572543414	14771401151246747869	1302322789487834240	170.713	42.7789	5392932872703786688	NaN	5083169309446148209	1	6843963171864976598	1485687868169	2.5	13	10	40	304	1	7	37	4	1	1
13677005548893099828	34453685010072459	10081650206047489431	181.631	46.1302	9071431613809298736	17927829176078238611	8494060603423735195	29.5	6843963171864976598	1488726998234	2.5	155.5	1	931	79	2.5	77.5	328	23.5	335.5	1
934548629027429198	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16289238337427520421	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
9874909357415839631	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12454903412242616189	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4621430080125137620	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3790664437730872735	34453685010072459	4660484954393955857	169.595	43.8054	3303062229659499247	2113087454122014078	8494060603423735195	29.5	6843963171864976598	1447131006215	2.5	527.5	37	10	3545.5	10	8.5	1573	31	10	1
5337668273267387266	14771401151246747869	7450735245033720970	152.151	33.9218	9956093717412576946	9575578256219129065	3027499780234405913	28	6843963171864976598	1462722513337	2.5	37	49	1	4	1	1	1	1	1	1
15559028532190834801	14771401151246747869	6744551217456641875	172.085	46.8263	18312104889363715121	972423676770490202	3027499780234405913	1	6843963171864976598	1463872184266	2.5	802	46	188.5	20080	7	194.5	179.5	64	208	1
6294051991178706381	34453685010072459	4327320840796792320	1	1	7728751497385427149	NaN	5656685945142785391	1	14771401151246747869	1466167248209	2.5	16465	110.5	5.5	24461.5	1	1	16774	151	1	1
15068505180345780449	14771401151246747869	7265916326799606203	161.404	42.5397	2605907981505228630	14805553423432444691	5656685945142785391	40	6843963171864976598	1467209905290	2.5	319	733	43	35398	1	11.5	17189.5	43	16	1
9185024300763320103	14771401151246747869	3556751062377730835	190.61	65.1537	3806027004690197823	9315233864303683580	16256945696872958129	35.5	6843963171864976598	1471791910434	2.5	1	2.5	1	526	1	2.5	1	1	1	1
7913381215327440165	14771401151246747869	15694656548661744051	186.298	63.9091	17285744326937793943	NaN	5656685945142785391	1	6843963171864976598	1472339559424	2.5	175	212.5	259	8.5	56.5	766	1732	14.5	10	1
7113554932594551253	14771401151246747869	10211136965740185639	188.863	66.764	2484761860878820743	NaN	5656685945142785391	1	6843963171864976598	1489811090330	2.5	1	1	1	8.5	1	1	1	1	1	1
9926682011814097296	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
17644301510946776601	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
17037554125825488471	34453685010072459	10211136965740185639	182.058	46.3348	9071431613809298736	13497686282124771665	5656685945142785391	34	14771401151246747869	1459670066123	2.5	121	23.5	109	1475.5	1	1	236.5	17.5	1	1
14837987658792803938	34453685010072459	7638001807695707609	171.513	35.3931	7555030694101606672	13600043566216488693	5656685945142785391	34	6843963171864976598	1460597184107	2.5	74.5	25	187	7	1	1	76	11.5	28	1
10747672547110599697	14771401151246747869	12236148022553120681	183.562	70.693	2086478837604375507	13871198517152104089	8494060603423735195	1	6843963171864976598	1466387900155	2.5	94	61	220	16700.5	1	1	86.5	14.5	16	1
17542409662419160505	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3059160638442985979	34453685010072459	4619779255378358970	156.525	55.1681	16119886518435264805	9995847261086977122	8146055994240252581	26.5	6843963171864976598	1479564941312	2.5	25	19	5.5	542.5	1	1	5.5	2.5	1	1
16339337530104154880	34453685010072459	4660484954393955857	158.567	45.655	16500145564709536548	4385888003585623756	5083169309446148209	29.5	6843963171864976598	1482560336270	2.5	386.5	82	6086.5	115	7	1	4193.5	32.5	562	1
4218702234227205580	14771401151246747869	17089004857331286805	165.76	56.3707	4116146026180573645	14809773994507654988	3027499780234405913	41.5	6843963171864976598	1484390889483	2.5	50.5	44.5	113.5	1478.5	1	376	284.5	10	271	1
12979143936756548015	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7822621915801847827	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12279507376132023112	34453685010072459	11740872891748772811	176.794	48.6294	6353108568278590683	NaN	8494060603423735195	29.5	6843963171864976598	1428213945372	2.5	515.5	187	731.5	154	4	260.5	209.5	64	1	1
4967895901516420530	14771401151246747869	12526130277778747046	179.716	60.2196	8246800423513151869	16096786586786398162	7941305549320701127	44.5	6843963171864976598	1460979642149	2.5	83.5	65.5	1	991	28	2.5	299.5	7	1	1
1339517549190908008	34453685010072459	7638001807695707609	178.075	37.5469	10855837846870210727	2553846166234290786	5656685945142785391	34	6843963171864976598	1466157042099	2.5	20803	302.5	180115	870648	2.5	503.5	888548	151	373240	82
9431877038050026158	34453685010072459	4660484954393955857	180.116	62.8157	16397088039697818795	12664773472093406816	8494060603423735195	49	6843963171864976598	1489708651182	2.5	11.5	10	80.5	1	5.5	35.5	74.5	4	80.5	1
17750354916574312960	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
9858294560013625550	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
9132201151790344280	34453685010072459	7265916326799606203	171.603	52.5754	3164121748884072765	5934422841821369788	5656685945142785391	34	6843963171864976598	1457366300128	2.5	1	1	1	1	1	1	1	1	1	1
8645490938849190271	14771401151246747869	3510303140463137969	170.074	36.0193	9154597814328517294	11899516149877934291	18039304162397308428	31	14771401151246747869	1457698205264	2.5	437.5	257.5	1	17357.5	5.5	40	836.5	37	29.5	1
12634141637525085939	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5311053400893302678	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7925209440270999339	34453685010072459	10211136965740185639	172.46	46.9352	18312104889363715121	3542947390457618420	5656685945142785391	31	14771401151246747869	1474896919324	2.5	3440.5	164.5	1	193	1	1	8683	151	1	1
5607182561559860691	14771401151246747869	14544019838051856155	174.035	38.7237	9186049091958010937	NaN	5083169309446148209	1	14771401151246747869	1476000417407	2.5	160	151	8.5	2297.5	1	1	223	16	1	1
8497147123569742934	34453685010072459	8410501586956965497	185.909	73.6304	11715886343672910396	NaN	3027499780234405913	1	6843963171864976598	1482988836315	2.5	37	5.5	70	8.5	1	1	26.5	10	1	1
14873291820265356796	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
9762600171995059642	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
13273871202367330862	14771401151246747869	7538582123614199359	-176.162	52.0997	3770813659953348376	NaN	1794435100279731638	1	6843963171864976598	1488510648244	2.5	23.5	44.5	2.5	6412	1	248.5	2.5	2.5	1	1
1150464961837866553	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
995622128425482082	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8815091341689525884	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15832546833964016719	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4323563719734569993	34453685010072459	10211136965740185639	172.784	58.0658	1903660851557760738	NaN	8146055994240252581	1	6843963171864976598	1458744327386	2.5	1936	16	179.5	601	1	5.5	6668.5	76	88	1
10043776642640481169	34453685010072459	4327320840796792320	181.744	55.6525	17465306663676244936	12755145710545977312	5656685945142785391	34	6843963171864976598	1462273258436	2.5	280	13	16	2669.5	1	7	127	62.5	1	1
3677546422287320530	34453685010072459	7265916326799606203	172.742	55.8972	10199864769168044432	NaN	16061938699691906071	1	6843963171864976598	1467079658156	2.5	176.5	82	287.5	3148	1	1	284.5	35.5	1	1
15856745703915140017	14771401151246747869	2685979380407884277	157.833	49.6144	8098108552695383840	703319107060129316	14754875642950410490	71.5	6843963171864976598	1467306212461	2.5	200.5	2188	131.5	7429	1	11.5	556	11.5	128.5	1
7190326550018381740	14771401151246747869	14544019838051856155	155.894	36.5638	4378072526493539647	13871198517152104089	8494060603423735195	40	14771401151246747869	1471192660132	2.5	1558	4	364	1.138e+06	1	667	36800.5	151	1418.5	1
11115893499671932703	34453685010072459	3659863142344469883	158.117	48.6672	8098108552695383840	NaN	5656685945142785391	38.5	6843963171864976598	1478176988226	2.5	841	800.5	8096.5	1760.5	1	43	7814.5	127	704.5	1
14843666139417596008	14771401151246747869	3659863142344469883	164.421	52.3863	4994850094228056084	NaN	10620342587920330344	1	6843963171864976598	1481257223384	2.5	385	329.5	104.5	2522.5	65.5	3866.5	1330	85	56.5	1
15779863977413215407	34453685010072459	7407684843732645521	155.546	54.2252	10262991718676431681	5993875278486691361	5083169309446148209	43	6843963171864976598	1488264243426	2.5	80.5	32.5	44.5	13	2.5	1	16	8.5	8.5	1
11152708934510160804	14771401151246747869	5228007527063844925	191.151	69.4899	15216595036825075434	5670906970630349367	16244310678531341320	32.5	6843963171864976598	1489181849251	2.5	35.5	73	2000.5	523	11.5	1183	926.5	14.5	1061.5	1
12348926783701713223	34453685010072459	6744551217456641875	176.882	52.3849	7956306945921279260	NaN	16256945696872958129	1	6843963171864976598	1489463657338	2.5	29.5	29.5	344.5	8.5	2.5	11.5	140.5	11.5	83.5	1
6462625919545391856	34453685010072459	18106544226263451054	180.719	62.1052	12597368311570085481	NaN	18039304162397308428	1	6843963171864976598	1489555844146	2.5	56.5	31	40	1	4	22	3623.5	28	3395.5	4
4091416348524366962	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10004631429650739529	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3949849351445683362	14771401151246747869	645805385508973343	186.232	63.7108	17285744326937793943	NaN	3027499780234405913	38.5	6843963171864976598	1447859167443	2.5	50.5	17.5	1	535	8.5	155.5	1	1	1	1
11968653570517209802	34453685010072459	5265818481040528393	161.473	48.2204	12296410446850802981	8730898003012621500	8494060603423735195	29.5	6843963171864976598	1459570899282	2.5	308.5	28	224.5	23.5	1	1	55	40	1	1
7696786630975737295	34453685010072459	3659863142344469883	204.334	52.9517	328249153713241351	35449646366330138	5656685945142785391	28	14771401151246747869	1460821717471	2.5	3643	31	641.5	18821.5	1	11.5	3601	151	151	1
5555674204589985142	34453685010072459	4327320840796792320	173.543	46.3667	15127273453903731424	NaN	5656685945142785391	37	14771401151246747869	1464418296461	2.5	1	1	1	1	1	1	1	1	1	1
14733843659019758543	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1734898348674212040	34453685010072459	645805385508973343	176.741	36.5786	10855837846870210727	NaN	16256945696872958129	1	6843963171864976598	1467317546484	2.5	25	16	31	1	1	1	13	5.5	1	1
16535554006721314995	34453685010072459	3024731539718053519	179.129	54.3981	11933963788288939103	NaN	7941305549320701127	1	6843963171864976598	1472358828266	2.5	3556	23.5	85448.5	443.5	4	25	37787.5	151	1	1
9757519670147647120	14771401151246747869	7543898124157178892	164.57	46.3315	16096423384998067789	11851809608250787413	17380934457458174105	34	14771401151246747869	1472402063126	2.5	115	32.5	19	26.5	1	2.5	13	5.5	1	1
17336976727095571760	14771401151246747869	7638001807695707609	176.251	61.5641	6220772307398391706	NaN	14263976815223664791	25	6843963171864976598	1472487157306	2.5	112	16	5.5	163	1	4	248.5	14.5	158.5	1
8486756224156356231	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15141617878338144004	34453685010072459	5983057599245695374	176.467	56.0125	8368477156682922943	NaN	5656685945142785391	1	6843963171864976598	1483351542437	2.5	80.5	22	133	493	1	1	115	22	1	1
8792100490736290712	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
4833802111546270582	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
2975206687266792269	34453685010072459	13987002376566709150	173.529	54.8115	15408563146499272564	7673847796594754696	3027499780234405913	37	14771401151246747869	1459575519119	2.5	2822.5	76	4019.5	18226	1	158.5	16846	151	2120.5	1
16051887458063369019	14771401151246747869	6062500207072726561	178.256	51.9844	15952449941828343487	13944282226870944724	8080533469335952745	37	14771401151246747869	1460885792367	2.5	3512.5	80.5	1519	201376	1	64	4847.5	151	1384	1
7422074325908983015	34453685010072459	3777725110131978323	185.239	64.0002	17285744326937793943	16874085304234683492	9203211364990347262	26.5	6843963171864976598	1462865433274	2.5	82	134.5	32.5	9155.5	1	1	652	16	827.5	1
7160741994058569934	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10857743312503252715	14771401151246747869	8286680241381910257	153.534	36.1485	10078137231975731517	5427518977148055134	8494060603423735195	31	6843963171864976598	1477846835298	2.5	83.5	44.5	44.5	212.5	1	1	28	5.5	1	1
1541352109190965136	14771401151246747869	11571742285610591729	187.567	65.7751	653497308671232054	1682784643859211167	18039304162397308428	40	6843963171864976598	1482395791237	2.5	167.5	52	14.5	1898.5	5.5	4	226	26.5	2.5	1
11806083575847431072	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
18190105317641181086	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15580982754455872954	34453685010072459	8286680241381910257	178.472	53.6454	4125364753815133640	1988598388576801197	16244310678531341320	28	6843963171864976598	1453118125304	2.5	37	55	19	22	1	1	11.5	4	1	1
10758234594700787265	34453685010072459	3659863142344469883	1	1	12855404259964902474	1988598388576801197	3027499780234405913	38.5	6843963171864976598	1464407443463	2.5	694	73	1	1	37	434.5	1	1	1	1
2941825592690078407	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16978522782667442622	34453685010072459	7638001807695707609	171.608	38.6446	6655531884443654008	16623667173634629970	17976383577365148815	31	6843963171864976598	1488529937462	2.5	46	98.5	335.5	241	4	25	613	14.5	188.5	1
13141042266921907139	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
14591858583837385148	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3431535863490656595	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8422282171813365048	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10815479578853918978	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8792200157535969835	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10498886471377685780	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10890187032290389929	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
11323104891204525236	14771401151246747869	8980375029874169620	158.374	43.8698	14605765816249056498	9853025728200234996	16256945696872958129	41.5	14771401151246747869	1463711173399	2.5	326.5	47.5	269.5	4295.5	8.5	91	209.5	17.5	44.5	1
13506215074914776412	34453685010072459	17089004857331286805	157.037	47.0842	13301720600350218719	NaN	8494060603423735195	1	6843963171864976598	1474862407288	2.5	143.5	19	1142.5	577	5.5	23.5	481	40	509.5	1
5148846707983778918	34453685010072459	4660484954393955857	190.799	68.2493	2484761860878820743	NaN	8494060603423735195	1	6843963171864976598	1489406979394	2.5	5.5	1	1	1	1	1	1	1	1	1
7361475672654970475	34453685010072459	10081650206047489431	178.268	40.964	17820907702837124003	NaN	18039304162397308428	1	6843963171864976598	1489750291474	2.5	2.5	1	1	1	5.5	56.5	1	1	1	1
12538458487467446352	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3542092635692315857	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16097748618758379498	34453685010072459	14598088572018628957	185.123	62.3012	4653498299011253430	5934422841821369788	9203211364990347262	31	14771401151246747869	1460801377235	2.5	308.5	491.5	37	919	1	1	187	35.5	8.5	1
16848510603139547312	14771401151246747869	798717645735960524	172.803	35.0782	12097094273101162415	2879422768105591548	3027499780234405913	1	6843963171864976598	1465567215452	2.5	5.5	4	121	5255.5	1	1	83.5	4	1	1
14047607744623144585	34453685010072459	5983057599245695374	175.686	60.9366	6220772307398391706	NaN	5656685945142785391	1	6843963171864976598	1474883464232	2.5	16414	52	337	16877.5	1	922	168847	151	110484	35.5
9031841767330294000	34453685010072459	13775701858611514893	181.618	47.3202	12653382502878221178	412128607081322653	9728979009671476297	29.5	6843963171864976598	1477981022446	2.5	7	20.5	1	8.5	1	1	1	1	1	1
16195328185847962550	34453685010072459	16020623782118324895	183.817	45.2051	8468386338883583967	NaN	16256945696872958129	1	6843963171864976598	1482409438366	2.5	116.5	10	263.5	1	1	1	149.5	19	1	1
11134196693054779826	34453685010072459	10211136965740185639	171.402	38.0319	6655531884443654008	NaN	5656685945142785391	1	6843963171864976598	1489432354126	2.5	1	1	1	8.5	1	1	1	1	1	1
8485902244708974879	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12858739519436147689	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7491700878520999568	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8605442431456204891	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5022060059740077106	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
13704112578791135102	34453685010072459	7638001807695707609	183.241	47.8379	7728751497385427149	7704131896747050074	17335592751513898590	31	14771401151246747869	1459343064382	2.5	20735.5	425.5	57086.5	36767.5	2.5	1394.5	96805	151	37796.5	32.5
10114739647889539637	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
13009524950190300032	14771401151246747869	4327320840796792320	173.094	35.4538	12097094273101162415	NaN	16244310678531341320	1	6843963171864976598	1464387442306	2.5	23.5	4	34	8617	1	4	16	5.5	1	1
11518783621677138541	34453685010072459	1302322789487834240	115.026	60.1574	7685069979219340590	5473114144172534853	8080533469335952745	25	6843963171864976598	1467208293153	2.5	215.5	50.5	130	1057	1	1	2743	49	121	1
10869583987916984339	14771401151246747869	4922731033958784577	176.499	56.0068	8368477156682922943	17709578938737854967	9203211364990347262	1	6843963171864976598	1468315587216	2.5	14.5	115	1	62.5	1	20.5	1	1	1	1
205746511889938891	34453685010072459	5693203367653084676	132.454	66.7601	7431924554772899137	NaN	14263976815223664791	175	6843963171864976598	1472979062437	2.5	58	8.5	13	35.5	28	79	13	2.5	1	1
7168679505759389539	34453685010072459	14936532173210915111	172.073	35.0279	15327303923343906653	13871198517152104089	7941305549320701127	28	6843963171864976598	1475592769123	2.5	424	40	38.5	1612	1	1	3251.5	70	1	1
12755017232374323968	34453685010072459	10042331214081538537	172.294	46.7656	18312104889363715121	4566944382882915994	16256945696872958129	35.5	14771401151246747869	1489226208375	2.5	40	7	1	1	1	14.5	284.5	19	241	1
9174509059342997144	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
10216732233465100343	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
12100354161454771838	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
5181751929318986754	34453685010072459	3972683935155670970	181.587	55.2156	17465306663676244936	NaN	9203211364990347262	1	6843963171864976598	1424998685408	2.5	296.5	44.5	634	2995	1	71.5	281.5	31	1	1
9906358720483470257	14771401151246747869	3659863142344469883	55.3134	76.0731	16938377175352466152	14805553423432444691	16244310678531341320	40	6843963171864976598	1430001965118	2.5	157	1031.5	1	526	23.5	862	1	1	1	1
2589761714745899519	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
3331018433669942253	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
6650076503895433327	14771401151246747869	7265916326799606203	188.619	65.3668	12356247514171424504	972423676770490202	5656685945142785391	31	6843963171864976598	1461503733151	2.5	76	22	85	63115	1	1	226	23.5	1	1
1163935257144088839	34453685010072459	4660484954393955857	168.547	62.219	5696894177963687434	12786502004151835450	8494060603423735195	1	6843963171864976598	1471620152435	2.5	164.5	7	74.5	1	1	1	115	35.5	1	1
12539341512454648553	14771401151246747869	10467070217667796302	178.636	37.9382	4648992534133883233	1425785792086908202	5083169309446148209	1	6843963171864976598	1475075382112	2.5	91	314.5	26.5	8035	1	8.5	22	5.5	22	1
7929648770000123965	34453685010072459	17645194506355745051	150.154	36.4766	1567442903813651648	NaN	9203211364990347262	1	6843963171864976598	1475317741276	2.5	263.5	316	2966.5	8.5	1	1	1499.5	41.5	1	1
736900364506523355	34453685010072459	1513783501889192169	189.147	69.0661	4408661226289912183	NaN	5083169309446148209	1	6843963171864976598	1478219623242	2.5	47.5	146.5	265	68.5	1	1	152.5	5.5	1	1
7148173219927451583	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
16276750408708829764	34453685010072459	14035393758908835616	164.116	52.5234	2671654609611462669	NaN	16256945696872958129	32.5	6843963171864976598	1484731585167	2.5	32.5	4	181	137.5	1	1	71.5	11.5	1	1
16062740460918633345	14771401151246747869	3659863142344469883	171.157	53.8392	17128760789241905220	15959647303363057916	5656685945142785391	1	6843963171864976598	1486029713239	2.5	43	13	220	71.5	1	14.5	64	16	1	1
6816424193301812696	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1695899178416518093	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
8190248515562702979	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
1416774600502258221	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
7522368018746591132	34453685010072459	3659863142344469883	190.968	69.5856	15216595036825075434	35449646366330138	5656685945142785391	29.5	14771401151246747869	1459325303441	2.5	10084	71.5	17.5	1522	23.5	619	26041	151	1304.5	13
16296347055990799631	14771401151246747869	15581449471719456830	160.333	47.2546	10323229920189365254	201306070313696672	9203211364990347262	29.5	6843963171864976598	1465602196305	2.5	19	122.5	1	8.5	7	1	1	1	1	1
8438404504769279858	34453685010072459	16020623782118324895	182.455	48.1503	12855404259964902474	1016692821735992243	16244310678531341320	32.5	14771401151246747869	1467693512231	2.5	1583.5	40	29.5	245690	1	13	133369	151	1	1
